credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn,age_group,inactive_single_product,products_per_tenure,zero_balance,high_balance,balance_per_product,credit_score_band,early_customer,churn_risk_score
619,France,Female,42,2,0.0,1,1,1,101348.88,1,40-49,False,1.5,1,0,1.0,Fair,1,2
608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0,40-49,False,2.0,0,0,83808.86,Fair,1,1
502,France,Female,42,8,159660.8,3,1,0,113931.57,1,40-49,False,1.375,0,1,53221.26666666666,Poor,0,0
699,France,Female,39,1,0.0,2,0,0,93826.63,0,30-39,False,3.0,1,0,1.0,Good,1,2
850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0,40-49,False,1.5,0,1,125511.82,Excellent,1,1
645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1,40-49,False,1.25,0,1,56878.89,Fair,0,0
822,France,Male,50,7,0.0,2,1,1,10062.8,0,40-49,False,1.2857142857142856,1,0,1.0,Excellent,0,1
376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1,<30,False,2.0,0,1,28762.685,Poor,0,0
501,France,Male,44,4,142051.07,2,0,1,74940.5,0,40-49,False,1.5,0,1,71026.535,Poor,0,0
684,France,Male,27,2,134603.88,1,1,1,71725.73,0,<30,False,1.5,0,1,134604.88,Good,1,1
528,France,Male,31,6,102016.72,2,0,0,80181.12,0,30-39,False,1.3333333333333333,0,1,51009.36,Poor,0,0
497,Spain,Male,24,3,0.0,2,1,0,76390.01,0,<30,False,1.6666666666666665,1,0,1.0,Poor,0,1
476,France,Female,34,10,0.0,2,1,0,26260.98,0,30-39,False,1.2,1,0,1.0,Poor,0,1
549,France,Female,25,5,0.0,2,0,0,190857.79,0,<30,False,1.4,1,0,1.0,Poor,0,1
635,Spain,Female,35,7,0.0,2,1,1,65951.65,0,30-39,False,1.2857142857142856,1,0,1.0,Fair,0,1
616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0,40-49,False,1.6666666666666665,0,1,71565.705,Fair,0,0
653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1,50-59,True,2.0,0,1,132603.88,Fair,1,2
549,Spain,Female,24,9,0.0,2,1,1,14406.41,0,<30,False,1.2222222222222223,1,0,1.0,Poor,0,1
587,Spain,Male,45,6,0.0,1,0,0,158684.81,0,40-49,True,1.1666666666666667,1,0,1.0,Fair,0,2
726,France,Female,24,6,0.0,2,1,1,54724.03,0,<30,False,1.3333333333333333,1,0,1.0,Good,0,1
732,France,Male,41,8,0.0,2,1,1,170886.17,0,40-49,False,1.25,1,0,1.0,Good,0,1
636,Spain,Female,32,8,0.0,2,1,0,138555.46,0,30-39,False,1.25,1,0,1.0,Fair,0,1
510,Spain,Female,38,4,0.0,1,1,0,118913.53,1,30-39,True,1.25,1,0,1.0,Poor,0,2
669,France,Male,46,3,0.0,2,0,1,8487.75,0,40-49,False,1.6666666666666665,1,0,1.0,Fair,0,1
846,France,Female,38,5,0.0,1,1,1,187616.16,0,30-39,False,1.2,1,0,1.0,Excellent,0,1
577,France,Male,25,3,0.0,2,0,1,124508.29,0,<30,False,1.6666666666666665,1,0,1.0,Poor,0,1
756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0,30-39,False,1.5,0,1,136816.64,Very Good,1,1
571,France,Male,44,9,0.0,2,0,0,38433.35,0,40-49,False,1.2222222222222223,1,0,1.0,Poor,0,1
574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0,40-49,False,1.3333333333333333,0,1,141350.43,Poor,0,0
411,France,Male,29,0,59697.17,2,1,1,53483.21,0,<30,False,,0,0,29849.585,Poor,1,1
591,Spain,Female,39,3,0.0,3,1,0,140469.38,1,30-39,False,2.0,1,0,1.0,Fair,0,1
533,France,Male,36,7,85311.7,1,0,1,156731.91,0,30-39,False,1.1428571428571428,0,0,85312.7,Poor,0,0
553,Germany,Male,41,9,110112.54,2,0,0,81898.81,0,40-49,False,1.2222222222222223,0,1,55057.27,Poor,0,0
520,Spain,Female,42,6,0.0,2,1,1,34410.55,0,40-49,False,1.3333333333333333,1,0,1.0,Poor,0,1
722,Spain,Female,29,9,0.0,2,1,1,142033.07,0,<30,False,1.2222222222222223,1,0,1.0,Good,0,1
475,France,Female,45,0,134264.04,1,1,0,27822.99,1,40-49,True,,0,1,134265.04,Poor,1,2
490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0,30-39,False,1.3333333333333333,0,1,145261.23,Poor,0,0
804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0,30-39,False,1.1428571428571428,0,0,76549.6,Excellent,0,0
850,France,Male,36,7,0.0,1,1,1,40812.9,0,30-39,False,1.1428571428571428,1,0,1.0,Excellent,0,1
582,Germany,Male,41,6,70349.48,2,0,1,178074.04,0,40-49,False,1.3333333333333333,0,0,35175.74,Fair,0,0
472,Spain,Male,40,4,0.0,1,1,0,70154.22,0,30-39,True,1.25,1,0,1.0,Poor,0,2
465,France,Female,51,8,122522.32,1,0,0,181297.65,1,50-59,True,1.125,0,1,122523.32,Poor,0,1
556,France,Female,61,2,117419.35,1,1,1,94153.83,0,60+,False,1.5,0,1,117420.35,Poor,1,1
834,France,Female,49,2,131394.56,1,0,0,194365.76,1,40-49,True,1.5,0,1,131395.56,Excellent,1,2
660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0,60+,False,1.2,0,1,155932.11,Fair,0,0
776,Germany,Female,32,4,109421.13,2,1,1,126517.46,0,30-39,False,1.5,0,1,54711.565,Very Good,0,0
829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1,<30,False,1.1111111111111112,0,1,112046.67,Excellent,0,0
637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1,30-39,False,1.1111111111111112,0,1,137844.8,Fair,0,0
550,Germany,Male,38,2,103391.38,1,0,1,90878.13,0,30-39,False,1.5,0,1,103392.38,Poor,1,1
776,Germany,Female,37,2,103769.22,2,1,0,194099.12,0,30-39,False,2.0,0,1,51885.61,Very Good,1,1
698,Germany,Male,44,10,116363.37,2,1,0,198059.16,0,40-49,False,1.2,0,1,58182.685,Good,0,0
585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0,30-39,False,1.4,0,1,73026.485,Fair,0,0
788,France,Female,33,5,0.0,2,0,0,116978.19,0,30-39,False,1.4,1,0,1.0,Very Good,0,1
655,Germany,Male,41,8,125561.97,1,0,0,164040.94,1,40-49,True,1.125,0,1,125562.97,Fair,0,1
601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1,40-49,True,2.0,0,1,98496.72,Fair,1,2
619,France,Male,43,1,125211.92,1,1,1,113410.49,0,40-49,False,2.0,0,1,125212.92,Fair,1,1
656,France,Male,45,5,127864.4,1,1,0,87107.57,0,40-49,True,1.2,0,1,127865.4,Fair,0,1
725,Germany,Male,19,0,75888.2,1,0,0,45613.75,0,<30,True,,0,0,75889.2,Good,1,2
511,Spain,Female,66,4,0.0,1,1,0,1643.11,1,60+,True,1.25,1,0,1.0,Poor,0,2
614,France,Male,51,4,40685.92,1,1,1,46775.28,0,50-59,False,1.25,0,0,40686.92,Fair,0,0
742,Germany,Male,35,5,136857.0,1,0,0,84509.57,0,30-39,True,1.2,0,1,136858.0,Very Good,0,1
687,Germany,Female,27,9,152328.88,2,0,0,126494.82,0,<30,False,1.2222222222222223,0,1,76165.44,Good,0,0
555,Spain,Male,33,1,56084.69,2,0,0,178798.13,0,30-39,False,3.0,0,0,28043.345,Poor,1,1
684,Spain,Male,56,8,78707.16,1,1,1,99398.36,0,50-59,False,1.125,0,0,78708.16,Good,0,0
603,Germany,Male,26,4,109166.37,1,1,1,92840.67,0,<30,False,1.25,0,1,109167.37,Fair,0,0
751,Germany,Female,36,6,169831.46,2,1,1,27758.36,0,30-39,False,1.3333333333333333,0,1,84916.73,Very Good,0,0
581,Germany,Female,34,1,101633.04,1,1,0,110431.51,0,30-39,True,2.0,0,1,101634.04,Fair,1,2
735,Germany,Male,43,10,123180.01,2,1,1,196673.28,0,40-49,False,1.2,0,1,61591.005,Good,0,0
661,Germany,Female,35,5,150725.53,2,0,1,113656.85,0,30-39,False,1.4,0,1,75363.765,Fair,0,0
675,France,Female,21,8,98373.26,1,1,0,18203.0,0,<30,True,1.125,0,1,98374.26,Good,0,1
738,Germany,Male,58,2,133745.44,4,1,0,28373.86,1,50-59,False,3.0,0,1,33437.36,Good,1,1
813,France,Male,29,6,0.0,1,1,0,33953.87,0,<30,True,1.1666666666666667,1,0,1.0,Excellent,0,2
657,Spain,Female,37,0,163607.18,1,0,1,44203.55,0,30-39,False,,0,1,163608.18,Fair,1,1
604,Germany,Female,25,5,157780.84,2,1,1,58426.81,0,<30,False,1.4,0,1,78891.42,Fair,0,0
519,France,Male,36,9,0.0,2,0,1,145562.4,0,30-39,False,1.2222222222222223,1,0,1.0,Poor,0,1
735,France,Female,21,1,178718.19,2,1,0,22388.0,0,<30,False,3.0,0,1,89360.095,Good,1,1
664,France,Male,55,8,0.0,2,1,1,139161.64,0,50-59,False,1.25,1,0,1.0,Fair,0,1
678,France,Female,32,9,0.0,1,1,1,148210.64,0,30-39,False,1.1111111111111112,1,0,1.0,Good,0,1
757,Spain,Male,33,5,77253.22,1,0,1,194239.63,0,30-39,False,1.2,0,0,77254.22,Very Good,0,0
416,Germany,Female,41,10,122189.66,2,1,0,98301.61,0,40-49,False,1.2,0,1,61095.83,Poor,0,0
665,France,Female,34,1,96645.54,2,0,0,171413.66,0,30-39,False,3.0,0,0,48323.77,Fair,1,1
777,France,Female,32,2,0.0,1,1,0,136458.19,1,30-39,True,1.5,1,0,1.0,Very Good,1,3
543,France,Female,36,3,0.0,2,0,0,26019.59,0,30-39,False,1.6666666666666665,1,0,1.0,Poor,0,1
506,France,Female,34,4,90307.62,1,1,1,159235.29,0,30-39,False,1.25,0,0,90308.62,Poor,0,0
493,France,Female,46,4,0.0,2,1,0,1907.66,0,40-49,False,1.5,1,0,1.0,Poor,0,1
652,Spain,Female,75,10,0.0,2,1,1,114675.75,0,60+,False,1.2,1,0,1.0,Fair,0,1
750,Spain,Male,22,3,121681.82,1,1,0,128643.35,1,<30,True,1.3333333333333333,0,1,121682.82,Very Good,0,1
729,France,Male,30,9,0.0,2,1,0,151869.35,0,<30,False,1.2222222222222223,1,0,1.0,Good,0,1
646,France,Female,46,4,0.0,3,1,0,93251.42,1,40-49,False,1.75,1,0,1.0,Fair,0,1
635,Germany,Female,28,3,81623.67,2,1,1,156791.36,0,<30,False,1.6666666666666665,0,0,40812.835,Fair,0,0
647,Spain,Female,44,5,0.0,3,1,1,174205.22,1,40-49,False,1.6,1,0,1.0,Fair,0,1
808,France,Male,45,7,118626.55,2,1,0,147132.46,0,40-49,False,1.2857142857142856,0,1,59314.275,Excellent,0,0
524,France,Female,36,10,0.0,2,1,0,109614.57,0,30-39,False,1.2,1,0,1.0,Poor,0,1
769,France,Male,29,8,0.0,2,1,1,172290.61,0,<30,False,1.25,1,0,1.0,Very Good,0,1
730,Spain,Male,42,4,0.0,2,0,1,85982.47,0,40-49,False,1.5,1,0,1.0,Good,0,1
515,Spain,Male,35,10,176273.95,1,0,1,121277.78,0,30-39,False,1.1,0,1,176274.95,Poor,0,0
773,Spain,Male,41,9,102827.44,1,0,1,64595.25,0,40-49,False,1.1111111111111112,0,1,102828.44,Very Good,0,0
814,Germany,Male,29,8,97086.4,2,1,1,197276.13,0,<30,False,1.25,0,0,48544.2,Excellent,0,0
710,Spain,Male,22,8,0.0,2,0,0,99645.04,0,<30,False,1.25,1,0,1.0,Good,0,1
413,France,Male,34,9,0.0,2,0,0,6534.18,0,30-39,False,1.2222222222222223,1,0,1.0,Poor,0,1
665,France,Female,40,6,0.0,1,1,1,161848.03,0,30-39,False,1.1666666666666667,1,0,1.0,Fair,0,1
623,France,Female,44,6,0.0,2,0,0,167162.43,0,40-49,False,1.3333333333333333,1,0,1.0,Fair,0,1
738,France,Male,31,9,82674.15,1,1,0,41970.72,0,30-39,True,1.1111111111111112,0,0,82675.15,Good,0,1
528,Spain,Male,36,7,0.0,2,1,0,60536.56,0,30-39,False,1.2857142857142856,1,0,1.0,Poor,0,1
670,Spain,Female,65,1,0.0,1,1,1,177655.68,1,60+,False,2.0,1,0,1.0,Fair,1,2
622,Spain,Female,46,4,107073.27,2,1,1,30984.59,1,40-49,False,1.5,0,1,53537.635,Fair,0,0
582,Germany,Male,32,1,88938.62,1,1,1,10054.53,0,30-39,False,2.0,0,0,88939.62,Fair,1,1
785,Germany,Female,36,2,99806.85,1,0,1,36976.52,0,30-39,False,1.5,0,1,99807.85,Very Good,1,1
605,Spain,Male,33,5,150092.8,1,0,0,71862.79,0,30-39,True,1.2,0,1,150093.8,Fair,0,1
479,Germany,Male,35,9,92833.89,1,1,0,99449.86,1,30-39,True,1.1111111111111112,0,0,92834.89,Poor,0,1
685,Germany,Male,30,3,90536.81,1,0,1,63082.88,0,<30,False,1.3333333333333333,0,0,90537.81,Good,0,0
538,Germany,Male,39,7,108055.1,2,1,0,27231.26,0,30-39,False,1.2857142857142856,0,1,54028.55,Poor,0,0
562,France,Male,42,2,100238.35,1,0,0,86797.41,0,40-49,True,1.5,0,1,100239.35,Poor,1,2
675,Spain,Male,36,9,106190.55,1,0,1,22994.32,0,30-39,False,1.1111111111111112,0,1,106191.55,Good,0,0
