credit_score,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,age_group,inactive_single_product,products_per_tenure,zero_balance,high_balance,balance_per_product,credit_score_band,early_customer,churn_risk_score
753,57,7,0.0,1,1,0,159475.08,50-59,True,1.1428571428571428,1,0,1.0,Very Good,0,2
739,32,3,102128.27,1,1,0,63981.37,30-39,True,1.3333333333333333,0,1,102129.27,Good,0,1
755,37,0,113865.23,2,1,1,117396.25,30-39,False,,0,1,56933.615,Very Good,1,1
561,37,5,0.0,2,1,0,83093.25,30-39,False,1.4,1,0,1.0,Poor,0,1
692,49,6,110540.43,2,0,1,107472.99,40-49,False,1.3333333333333333,0,1,55271.215,Good,0,0
659,38,9,0.0,2,1,1,132809.18,30-39,False,1.2222222222222223,1,0,1.0,Fair,0,1
782,34,9,0.0,1,1,0,183021.06,30-39,True,1.1111111111111112,1,0,1.0,Very Good,0,2
546,24,8,156325.38,1,1,1,125381.02,<30,False,1.125,0,1,156326.38,Poor,0,0
756,41,2,124439.49,2,0,1,47093.11,40-49,False,2.0,0,1,62220.745,Very Good,1,1
685,34,6,83264.28,1,0,0,9663.28,30-39,True,1.1666666666666667,0,0,83265.28,Good,0,1
531,53,5,127642.44,1,1,0,141501.45,50-59,True,1.2,0,1,127643.44,Poor,0,1
560,31,3,115141.18,1,1,0,39806.75,30-39,True,1.3333333333333333,0,1,115142.18,Poor,0,1
733,31,9,102289.85,1,1,1,115441.66,30-39,False,1.1111111111111112,0,1,102290.85,Good,0,0
674,27,4,111568.01,1,0,1,22026.18,<30,False,1.25,0,1,111569.01,Good,0,0
644,37,9,0.0,2,1,1,96442.86,30-39,False,1.2222222222222223,1,0,1.0,Fair,0,1
695,32,9,0.0,3,0,1,38533.79,30-39,False,1.3333333333333333,1,0,1.0,Good,0,1
750,42,8,151836.36,2,1,0,68695.38,40-49,False,1.25,0,1,75919.18,Very Good,0,0
754,35,6,98585.94,2,0,1,106116.84,30-39,False,1.3333333333333333,0,1,49293.97,Very Good,0,0
744,34,3,0.0,2,1,0,27244.35,30-39,False,1.6666666666666663,1,0,1.0,Very Good,0,1
588,22,9,67178.19,1,1,1,163534.75,<30,False,1.1111111111111112,0,0,67179.19,Fair,0,0
696,44,8,161889.79,1,0,0,75562.47,40-49,True,1.125,0,1,161890.79,Good,0,1
774,52,2,56580.93,1,1,0,113266.28,50-59,True,1.5,0,0,56581.93,Very Good,1,2
704,31,0,0.0,2,1,0,183038.33,30-39,False,,1,0,1.0,Good,1,2
723,48,7,0.0,2,1,1,150694.58,40-49,False,1.2857142857142856,1,0,1.0,Good,0,1
536,46,1,65733.41,1,1,0,61094.53,40-49,True,2.0,0,0,65734.41,Poor,1,2
691,35,6,0.0,2,0,1,178038.17,30-39,False,1.3333333333333333,1,0,1.0,Good,0,1
611,40,7,128486.91,2,1,0,10109.47,30-39,False,1.2857142857142856,0,1,64244.455,Fair,0,0
691,30,7,101231.77,2,0,0,156529.44,<30,False,1.2857142857142856,0,1,50616.885,Good,0,0
659,34,9,134464.58,2,1,0,178833.34,30-39,False,1.2222222222222223,0,1,67233.29,Fair,0,0
711,29,9,0.0,2,0,1,3234.8,<30,False,1.2222222222222223,1,0,1.0,Good,0,1
559,24,3,114739.92,1,1,0,85891.02,<30,True,1.3333333333333333,0,1,114740.92,Poor,0,1
716,44,3,109528.28,1,1,0,27341.63,40-49,True,1.3333333333333333,0,1,109529.28,Good,0,1
583,48,3,91246.53,1,1,0,60017.46,40-49,True,1.3333333333333333,0,0,91247.53,Fair,0,1
593,41,6,0.0,1,1,0,65170.66,40-49,True,1.1666666666666667,1,0,1.0,Fair,0,2
824,60,8,134250.17,3,0,0,153046.16,50-59,False,1.375,0,1,44751.05666666667,Excellent,0,0
567,48,3,0.0,1,1,0,55362.45,40-49,True,1.3333333333333333,1,0,1.0,Poor,0,2
552,33,5,140931.57,1,0,1,10921.5,30-39,False,1.2,0,1,140932.57,Poor,0,0
564,27,6,0.0,1,0,0,7819.76,<30,True,1.1666666666666667,1,0,1.0,Poor,0,2
756,42,9,0.0,2,1,0,35673.42,40-49,False,1.2222222222222223,1,0,1.0,Very Good,0,1
733,32,5,0.0,2,1,0,131625.14,30-39,False,1.4,1,0,1.0,Good,0,1
